"age" "income" "education" "tenure" "sales" "id"
43 80152 13 5 255 10429
57 69945 13 3 238 9325
36 56046 12 5 239 11257
44 75976 16 4 200 9683
35 41000 10 6 211 9921
51 72608 11 2 124 9414
42 63615 12 5 131 9602
44 87531 13 6 296 10262
57 89774 14 4 269 10582
35 76979 12 5 224 9805
63 69947 13 5 252 9650
45 59425 10 4 149 10768
66 86870 14 6 239 9293
53 67871 11 4 202 9833
58 94019 15 7 226 10632
35 73314 9 4 177 10543
64 60131 14 6 232 10467
41 66540 13 5 279 11932
46 78242 13 4 158 10254
45 70182 13 6 291 11604
37 82774 10 4 167 10548
54 71428 13 2 218 9991
36 61855 8 5 120 10117
47 67375 11 5 245 9894
44 59935 12 5 118 10166
40 63101 8 3 134 9171
49 65485 12 2 125 10015
39 61922 10 7 96 10805
49 63329 9 4 203 10080
43 78562 12 2 150 10439
41 81390 13 3 240 9751
42 69797 9 7 242 10071
46 65637 12 4 194 11101
61 70006 13 3 151 10523
67 82205 12 7 263 12258
35 66292 10 3 177 9107
43 79889 12 4 103 10231
32 40367 10 4 148 10663
40 67106 13 7 209 10205
29 76123 8 4 177 9812
55 73056 12 3 232 9799
34 81322 14 6 320 10011
57 85575 13 5 196 10263
39 70537 9 4 175 11103
63 70305 11 5 183 9447
42 62326 11 3 245 8978
29 64431 13 3 189 9871
64 61692 12 6 246 11353
51 69268 10 8 195 10488
33 70630 13 7 105 10195
41 76132 11 5 222 10351
50 62997 13 4 209 11801
36 62474 8 2 131 9734
50 73036 13 5 277 9500
37 71673 11 3 272 10566
47 86309 11 3 259 9870
43 65921 12 4 181 10292
48 67062 11 4 232 9148
38 84441 10 5 164 9581
49 75763 14 5 211 10124
58 86109 13 5 187 10080
30 57116 10 6 203 11289
45 69350 11 1 176 9816
46 73643 12 4 243 11001
39 81974 12 3 146 11255
41 57136 10 3 207 9401
63 79353 14 4 270 10951
56 74431 12 7 207 10285
40 55038 10 4 144 8635
31 68852 13 3 220 10457
56 53414 12 5 157 9806
28 58796 8 2 176 9799
50 65839 14 1 123 9171
48 84506 14 5 245 10460
57 73321 14 5 245 11353
54 87949 15 2 359 9670
44 57422 12 5 225 8959
49 56955 10 5 117 10449
46 71159 13 6 324 10375
37 69676 12 3 235 10039
26 73809 12 3 169 9640
37 75723 11 7 103 9716
54 82514 12 7 236 9617
50 72697 11 6 275 10071
64 71390 16 2 234 10305
32 84525 9 3 72 9776
54 59501 12 5 227 9026
34 60873 8 5 146 10198
48 81417 14 8 172 10126
54 70176 12 5 206 10051
55 67962 13 4 202 11664
32 68017 11 4 193 10438
54 71177 10 6 225 9931
53 86801 12 4 210 10702
56 88765 13 5 255 9839
39 69401 9 8 340 11636
60 68826 13 3 245 10283
41 63514 9 4 119 9657
22 63487 10 6 277 7905
38 62168 11 6 234 10585
